01-05-2015,F15,MILITARY,,PASSENGER,,CARGO,3.20,OTHER,0.80
01-05-2015,F10,MILITARY,,PASSENGER,2.80,CARGO,3.80,OTHER,1.00
01-05-2015,G11,MILITARY,,PASSENGER,0.60,CARGO,1.20,OTHER,1.80
01-05-2015,F11,MILITARY,,PASSENGER,1.80,CARGO,4.00,OTHER,1.60
01-05-2015,F14,MILITARY,,PASSENGER,0.20,CARGO,2.20,OTHER,2.20
01-05-2015,D3,MILITARY,,PASSENGER,0.60,CARGO,3.00,OTHER,8.40
01-05-2015,D5,MILITARY,,PASSENGER,0.60,CARGO,3.00,OTHER,6.60
01-05-2015,E5,MILITARY,,PASSENGER,1.60,CARGO,3.60,OTHER,14.00
01-05-2015,H13,MILITARY,,PASSENGER,0.20,CARGO,2.20,OTHER,0.40
01-05-2015,F6,MILITARY,,PASSENGER,14.20,CARGO,21.60,OTHER,7.20
01-05-2015,J14,MILITARY,,PASSENGER,3.20,CARGO,23.00,OTHER,11.00
01-05-2015,I16,MILITARY,,PASSENGER,2.60,CARGO,15.00,OTHER,4.60
01-05-2015,F8,MILITARY,,PASSENGER,29.40,CARGO,7.40,OTHER,14.60
01-05-2015,F9,MILITARY,,PASSENGER,36.80,CARGO,8.20,OTHER,12.20
